Date : 2026-03-10 11:56:41
Directory : c:\Users\dariu\Desktop\programming\flavorSynthesizer
Total : 180 files,  20807 codes, 1173 comments, 2848 blanks, all 24828 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         25 |      7,586 |          4 |          8 |      7,598 |
| TypeScript JSX     |         45 |      5,792 |        355 |      1,137 |      7,284 |
| SCSS               |         34 |      3,660 |        554 |        767 |      4,981 |
| TypeScript         |         57 |      3,142 |        216 |        727 |      4,085 |
| Python             |         14 |        449 |         44 |        162 |        655 |
| Markdown           |          2 |        135 |          0 |         41 |        176 |
| JavaScript         |          1 |         22 |          0 |          2 |         24 |
| HTML               |          1 |         14 |          0 |          3 |         17 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |        180 |     20,807 |      1,173 |      2,848 |     24,828 |
| . (Files)                                                                                                                                    |         10 |      4,587 |          5 |         57 |      4,649 |
| public                                                                                                                                       |         26 |      2,361 |         44 |        179 |      2,584 |
| public\flavors                                                                                                                               |         18 |      1,684 |         22 |        109 |      1,815 |
| public\flavors (Files)                                                                                                                       |          7 |        918 |          0 |         25 |        943 |
| public\flavors\audio                                                                                                                         |          8 |        668 |          5 |         45 |        718 |
| public\flavors\images                                                                                                                        |          3 |         98 |         17 |         39 |        154 |
| public\masks                                                                                                                                 |          1 |         14 |          0 |          5 |         19 |
| public\sprites                                                                                                                               |          2 |        478 |          0 |          0 |        478 |
| public\sprites\flavors                                                                                                                       |          1 |        440 |          0 |          0 |        440 |
| public\sprites\mainFlavors                                                                                                                   |          1 |         38 |          0 |          0 |         38 |
| public\utils-python                                                                                                                          |          5 |        185 |         22 |         65 |        272 |
| src                                                                                                                                          |        144 |     13,859 |      1,124 |      2,612 |     17,595 |
| src (Files)                                                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| src\@types                                                                                                                                   |         10 |      1,485 |          0 |         34 |      1,519 |
| src\app                                                                                                                                      |          3 |        686 |         36 |        130 |        852 |
| src\audio                                                                                                                                    |          8 |        844 |         30 |        251 |      1,125 |
| src\audio (Files)                                                                                                                            |          2 |        301 |         14 |         69 |        384 |
| src\audio\main                                                                                                                               |          6 |        543 |         16 |        182 |        741 |
| src\components                                                                                                                               |         90 |      9,417 |        951 |      1,898 |     12,266 |
| src\components (Files)                                                                                                                       |          2 |        367 |         30 |        111 |        508 |
| src\components\MainFlavorSelectionDialog                                                                                                     |          2 |        158 |          2 |         28 |        188 |
| src\components\cssImageLoader                                                                                                                |          1 |          0 |        107 |         21 |        128 |
| src\components\currentMainTheme                                                                                                              |          2 |        113 |          1 |         24 |        138 |
| src\components\dialogs                                                                                                                       |          3 |        117 |          0 |         18 |        135 |
| src\components\dishList                                                                                                                      |          3 |        821 |        126 |        166 |      1,113 |
| src\components\dishManager                                                                                                                   |          1 |        119 |          0 |         16 |        135 |
| src\components\download                                                                                                                      |          2 |        147 |         48 |         18 |        213 |
| src\components\errorInfoComponents                                                                                                           |          5 |        125 |          0 |         32 |        157 |
| src\components\errorInfoComponents\notSupported                                                                                              |          2 |         36 |          0 |          7 |         43 |
| src\components\errorInfoComponents\rotateDevice                                                                                              |          3 |         89 |          0 |         25 |        114 |
| src\components\flavor-dragn-drop-list                                                                                                        |          3 |        218 |         48 |         61 |        327 |
| src\components\flavorSynth                                                                                                                   |         14 |      2,909 |        202 |        571 |      3,682 |
| src\components\flavorSynth (Files)                                                                                                           |          7 |      2,079 |        184 |        442 |      2,705 |
| src\components\flavorSynth\actionHistory                                                                                                     |          1 |        279 |          0 |         18 |        297 |
| src\components\flavorSynth\controlKnob                                                                                                       |          2 |        309 |          6 |         67 |        382 |
| src\components\flavorSynth\flavorStatistic                                                                                                   |          2 |         93 |          2 |         15 |        110 |
| src\components\flavorSynth\synthLine                                                                                                         |          2 |        149 |         10 |         29 |        188 |
| src\components\imageMenu                                                                                                                     |          5 |        280 |          2 |         59 |        341 |
| src\components\imageMenu (Files)                                                                                                             |          1 |        276 |          2 |         59 |        337 |
| src\components\imageMenu\selections                                                                                                          |          4 |          4 |          0 |          0 |          4 |
| src\components\initialMenu                                                                                                                   |          2 |        428 |         97 |         87 |        612 |
| src\components\loading                                                                                                                       |          3 |        117 |          0 |         30 |        147 |
| src\components\openShareDialog                                                                                                               |          2 |        640 |         57 |        120 |        817 |
| src\components\pixelDiv                                                                                                                      |          6 |        180 |         54 |         45 |        279 |
| src\components\progressCanvas                                                                                                                |          1 |         58 |          0 |         22 |         80 |
| src\components\restaurant                                                                                                                    |          3 |        468 |         27 |         98 |        593 |
| src\components\scroollingBackgroundImage                                                                                                     |          2 |         81 |          5 |          7 |         93 |
| src\components\shareDialog                                                                                                                   |          2 |        930 |        145 |        197 |      1,272 |
| src\components\toggle                                                                                                                        |          2 |         92 |          0 |         19 |        111 |
| src\components\tutorials                                                                                                                     |         24 |      1,049 |          0 |        148 |      1,197 |
| src\components\tutorials (Files)                                                                                                             |          1 |         62 |          0 |         17 |         79 |
| src\components\tutorials\components                                                                                                          |          8 |        413 |          0 |         56 |        469 |
| src\components\tutorials\components\action                                                                                                   |          2 |         43 |          0 |          7 |         50 |
| src\components\tutorials\components\custom                                                                                                   |          2 |        108 |          0 |         14 |        122 |
| src\components\tutorials\components\image                                                                                                    |          2 |        148 |          0 |         20 |        168 |
| src\components\tutorials\components\text                                                                                                     |          2 |        114 |          0 |         15 |        129 |
| src\components\tutorials\context                                                                                                             |          2 |         34 |          0 |          8 |         42 |
| src\components\tutorials\dishList                                                                                                            |          2 |        164 |          0 |         10 |        174 |
| src\components\tutorials\editor                                                                                                              |          6 |        253 |          0 |         38 |        291 |
| src\components\tutorials\editor (Files)                                                                                                      |          1 |         21 |          0 |          2 |         23 |
| src\components\tutorials\editor\initialLandingEditor                                                                                         |          2 |         93 |          0 |         13 |        106 |
| src\components\tutorials\editor\selectMainFlavor                                                                                             |          1 |         15 |          0 |          5 |         20 |
| src\components\tutorials\editor\share                                                                                                        |          1 |         28 |          0 |          6 |         34 |
| src\components\tutorials\editor\synthLine                                                                                                    |          1 |         96 |          0 |         12 |        108 |
| src\components\tutorials\home                                                                                                                |          1 |         25 |          0 |          5 |         30 |
| src\components\tutorials\hooks                                                                                                               |          1 |         28 |          0 |          6 |         34 |
| src\components\tutorials\openShared                                                                                                          |          1 |         33 |          0 |          4 |         37 |
| src\components\tutorials\restaurant                                                                                                          |          2 |         37 |          0 |          4 |         41 |
| src\contexts                                                                                                                                 |         17 |        286 |          2 |         60 |        348 |
| src\download                                                                                                                                 |          2 |        307 |         26 |         37 |        370 |
| src\hooks                                                                                                                                    |          4 |        213 |          0 |         64 |        277 |
| src\main                                                                                                                                     |          2 |        280 |         11 |         57 |        348 |
| src\utils                                                                                                                                    |          7 |        340 |         68 |         80 |        488 |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                     | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\README.md                                                                               | Markdown           |        124 |          0 |         36 |        160 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\eslint.config.js                                                                        | JavaScript         |         22 |          0 |          2 |         24 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\index.html                                                                              | HTML               |         14 |          0 |          3 |         17 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\package-lock.json                                                                       | JSON               |      4,296 |          0 |          1 |      4,297 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\package.json                                                                            | JSON               |         44 |          0 |          1 |         45 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\Test.ts                                                                  | TypeScript         |         54 |          0 |         17 |         71 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\110.json                                                           | JSON               |        153 |          0 |          0 |        153 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\124.json                                                           | JSON               |        178 |          0 |          0 |        178 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\130.json                                                           | JSON               |        153 |          0 |          0 |        153 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\81.json                                                            | JSON               |         53 |          0 |          0 |         53 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\downloader.py                                                      | Python             |         37 |          0 |         11 |         48 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\filterSilentOnes.py                                                | Python             |         26 |          1 |          8 |         35 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\loopMaker.py                                                       | Python             |         41 |          0 |         17 |         58 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\sortAndRename.py                                                   | Python             |         27 |          4 |          9 |         40 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\createClasses.py                                                         | Python             |         21 |          0 |          8 |         29 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\flavorColors.json                                                        | JSON               |        659 |          0 |          0 |        659 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\flavorImages.json                                                        | JSON               |         75 |          0 |          0 |         75 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\flavors.json                                                             | JSON               |         75 |          0 |          0 |         75 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\images\convertImagesToJsonImageArray.py                                  | Python             |         33 |          0 |         11 |         44 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\images\convertImagesToJsonImageArrayMainFlavors.py                       | Python             |         33 |          0 |         11 |         44 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\images\createImages.py                                                   | Python             |         32 |         17 |         17 |         66 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\mainFlavorColors.json                                                    | JSON               |         26 |          0 |          0 |         26 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\mainFlavorImages.json                                                    | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\masks\convertGrayScaleToAlphaAsWell.py                                           | Python             |         14 |          0 |          5 |         19 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\sprites\flavors\flavors.json                                                     | JSON               |        440 |          0 |          0 |        440 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\sprites\mainFlavors\mainFlavors.json                                             | JSON               |         38 |          0 |          0 |         38 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\convertFoldersToFileSizeJson.py                                     | Python             |         54 |          7 |         17 |         78 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\convertImageToSelectionJson.py                                      | Python             |         22 |          8 |          9 |         39 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\convertToImages.py                                                  | Python             |         58 |          0 |         18 |         76 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\createSpriteImage.py                                                | Python             |         31 |          7 |         10 |         48 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\listFileSizes.py                                                    | Python             |         20 |          0 |         11 |         31 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\Api.ts                                                                       | TypeScript         |         71 |          0 |         18 |         89 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\Flavors.ts                                                                   | TypeScript         |         22 |          0 |          7 |         29 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\User.ts                                                                      | TypeScript         |         49 |          0 |          9 |         58 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\downloadImageSizes.json                                                      | JSON               |         28 |          0 |          0 |         28 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\downloadSizes.json                                                           | JSON               |        542 |          0 |          0 |        542 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\flavorColors.json                                                            | JSON               |        659 |          0 |          0 |        659 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\flavorImages.json                                                            | JSON               |         75 |          0 |          0 |         75 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\generative-music__samples-alex-bainter.d.ts                                  | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\mainFlavorColors.json                                                        | JSON               |         26 |          0 |          0 |         26 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\mainFlavorImages.json                                                        | JSON               |          8 |          0 |          0 |          8 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\Images.ts                                                                           | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\App.scss                                                                        | SCSS               |        145 |         17 |         37 |        199 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\App.tsx                                                                         | TypeScript JSX     |        537 |         19 |         93 |        649 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\app\types.d.ts                                                                      | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\FlavorMusic.ts                                                                | TypeScript         |        241 |          8 |         61 |        310 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\Flavors.ts                                                                    | TypeScript         |         60 |          6 |          8 |         74 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Bitter.ts                                                                | TypeScript         |         87 |          3 |         29 |        119 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Salty.ts                                                                 | TypeScript         |         93 |          3 |         30 |        126 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Savory.ts                                                                | TypeScript         |         89 |          3 |         31 |        123 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Sour.ts                                                                  | TypeScript         |         86 |          3 |         30 |        119 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Spicy.ts                                                                 | TypeScript         |         92 |          0 |         30 |        122 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\audio\main\Sweet.ts                                                                 | TypeScript         |         96 |          4 |         32 |        132 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\FlavorUtils.ts                                                           | TypeScript         |        295 |         30 |         87 |        412 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\MainFlavorSelectionDialog\MainFlavorSelectionDialog.scss                 | SCSS               |        122 |          1 |         22 |        145 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\MainFlavorSelectionDialog\MainFlavorSelectionDialog.tsx                  | TypeScript JSX     |         36 |          1 |          6 |         43 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\ResourceSaver.ts                                                         | TypeScript         |         72 |          0 |         24 |         96 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\cssImageLoader\CssImageLoader.ts                                         | TypeScript         |          0 |        107 |         21 |        128 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\currentMainTheme\CurrentMainThemeSelector.scss                           | SCSS               |         86 |          1 |         21 |        108 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\currentMainTheme\CurrentMainThemeSelector.tsx                            | TypeScript JSX     |         27 |          0 |          3 |         30 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\ConfirmDialog.scss                                               | SCSS               |         37 |          0 |          5 |         42 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\ConfirmDialog.tsx                                                | TypeScript JSX     |         67 |          0 |          8 |         75 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dialogs\ConfirmDialogContext.ts                                          | TypeScript         |         13 |          0 |          5 |         18 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishList.scss                                                   | SCSS               |        344 |        113 |         77 |        534 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishList.tsx                                                    | TypeScript JSX     |        338 |         13 |         78 |        429 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishList\DishListItem.tsx                                                | TypeScript JSX     |        139 |          0 |         11 |        150 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\dishManager\DishManager.ts                                               | TypeScript         |        119 |          0 |         16 |        135 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\download\Download.scss                                                   | SCSS               |         85 |         36 |         14 |        135 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\download\Download.tsx                                                    | TypeScript JSX     |         62 |         12 |          4 |         78 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\notSupported\NotSupportedNotice.scss                 | SCSS               |         29 |          0 |          6 |         35 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\notSupported\NotSupportedNotice.tsx                  | TypeScript JSX     |          7 |          0 |          1 |          8 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\rotateDevice\RotateDeviceNotice.scss                 | SCSS               |         26 |          0 |          6 |         32 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\rotateDevice\RotateDeviceNotice.tsx                  | TypeScript JSX     |         41 |          0 |         15 |         56 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\errorInfoComponents\rotateDevice\RotateDeviceNoticeDownload.ts           | TypeScript         |         22 |          0 |          4 |         26 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavor-dragn-drop-list\FlavorDragNDropList.scss                          | SCSS               |        119 |         28 |         29 |        176 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavor-dragn-drop-list\FlavorDragNDropList.tsx                           | TypeScript JSX     |         11 |          0 |          2 |         13 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavor-dragn-drop-list\FlavorDragNDropListItem.tsx                       | TypeScript JSX     |         88 |         20 |         30 |        138 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\CurrentDraggingReference.ts                                  | TypeScript         |         24 |          0 |          6 |         30 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\CurrentPosimageInit.ts                                       | TypeScript         |         18 |          0 |          7 |         25 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\ElementPlayer.ts                                             | TypeScript         |        104 |          0 |         13 |        117 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\FlavorSynth.scss                                             | SCSS               |         58 |          4 |          8 |         70 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\FlavorSynth.tsx                                              | TypeScript JSX     |        597 |         41 |        129 |        767 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\FlavorSynthControls.scss                                     | SCSS               |        155 |         16 |         42 |        213 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\PlayerTrack.tsx                                              | TypeScript JSX     |      1,123 |        123 |        237 |      1,483 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\actionHistory\ActionHistoryManager.ts                        | TypeScript         |        279 |          0 |         18 |        297 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\controlKnob\ControlKnob.scss                                 | SCSS               |        102 |          5 |         19 |        126 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\controlKnob\ControlKnob.tsx                                  | TypeScript JSX     |        207 |          1 |         48 |        256 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\flavorStatistic\FlavorStatistic.scss                         | SCSS               |         85 |          1 |         14 |        100 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\flavorStatistic\FlavorStatistic.tsx                          | TypeScript JSX     |          8 |          1 |          1 |         10 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\synthLine\SynthLine.scss                                     | SCSS               |         96 |          0 |         18 |        114 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\flavorSynth\synthLine\SynthLine.tsx                                      | TypeScript JSX     |         53 |         10 |         11 |         74 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\imageMenu\ImageMenu.tsx                                                  | TypeScript JSX     |        276 |          2 |         59 |        337 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\imageMenu\selections\createNewDish.json                                  | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\imageMenu\selections\listDishes.json                                     | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\imageMenu\selections\openShartedDish.json                                | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\imageMenu\selections\restaurant.json                                     | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\initialMenu\InitialMenu.scss                                             | SCSS               |        298 |         83 |         69 |        450 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\initialMenu\InitialMenu.tsx                                              | TypeScript JSX     |        130 |         14 |         18 |        162 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\loading\Loading.scss                                                     | SCSS               |         54 |          0 |         10 |         64 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\loading\Loading.tsx                                                      | TypeScript JSX     |         41 |          0 |         16 |         57 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\loading\LoadingAnimationDownloads.ts                                     | TypeScript         |         22 |          0 |          4 |         26 |
| c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\openShareDialog\OpenShareDialog.scss                                     | SCSS               |        290 |         55 |         61 |        406 |
